Origin (UTC),Cell Number,Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
5/6/1919,79,Papua New Guinea,-5.477,152.629,232.8,7.6 mb,T,,,,,
1/4/1920,80,Mexico,19.27,-97.08,15,6.2 MS,L,,,,,1500[6]
2/20/1920,81,Georgia (see1920 Gori earthquake),42,44.1,11,6.2 UK,,,,130,,
6/5/1920,82,Taiwan,23.813,122.08,35,7.9 MW,,,,5,,
9/7/1920,83,Italy,44.3,10.3,10,5.8 UK,,,,171,,
12/16/1920,84,China (see1920 Haiyuan earthquake),36.601,105.317,25,8.6 MS,,,,235502,180000,
12/17/1920,85,Argentina(see 1920 Mendoza earthquake),-32.7,-68.4,10,6.0 UK,,,,400,,
8/14/1921,86,Eritrea (see1921 Massawa earthquake),15.61,39.445,,,,,,,,
11/11/1921,87,Philippines,7.897,127.257,35,7.3 MW,,,,600,,
4/26/1922,88,Japan,35.2,139.8,35,6.8 MJ,,,,2,,
9/1/1922,89,Taiwan,24.506,122.04,35,7.5 MW,,,,5,,
10/14/1922,90,Taiwan,24.5,122,35,6.9 MJ,,,,6,,
11/11/1922,91,Chile (see1922 Vallenar earthquake),-28.553,-70.755,35,8.7 MW,T,,,1000,1000,
12/7/1922,92,Japan,32.7,130.1,5,6.9 MJ,,,,26,,
12/8/1922,93,Japan,32.7,130.1,5,6.5 MJ,,,,,,
2/3/1923,94,Russian Federation,53.853,160.761,35,8.5 MW,T,,,,,
3/24/1923,95,China,30.553,101.258,25,7.2 MW,,,,450,5000,
4/13/1923,96,Russian Federation,55.415,162.585,35,7.1 MW,T,,,18,,
5/25/1923,97,Iran,35.2,59.2,,5.7 UK,,,,2219,,
9/1/1923,98,Japan (see1923 Great Kanto earthquake),35.405,139.084,35,7.9 UK,"T,F",,,142807,143000,105000
9/9/1923,99,Bangladesh,24.943,90.32,35,7.1 MS,,,,50,,
9/17/1923,100,Iran,37.2,57.7,,6.4 UK,,,,157,,
9/22/1923,101,Iran,29.12,56.928,35,6.9 UK,,,,290,,
12/14/1923,102,Colombia,1,-77.5,,5.3 UK,,,,300,,
1/14/1924,103,Japan,35.5,139.2,5,7.3 MJ,,,,19,,
3/3/1924,104,Ecuador,-1.6,-78.6,,6.9 UK,,,,40,,
7/3/1924,105,China,36.632,83.903,35,7.1 MW,,,,255,,
7/12/1924,106,Kyrgyzstan,40.565,73.397,25,6.8 UK,,,,41,,
9/13/1924,107,Turkey (see1924 Pasinler earthquake),39.864,41.876,35,6.8 UK,,,,30,,
3/16/1925,108,China,25.688,100.494,25,7.0 MS,,,,5808,5000,
5/23/1925,109,Japan,35.6,134.8,5,6.8 UK,F,,,428,,
6/29/1925,110,United States,34.5,-119.6,,6.2 UK,,,,13,,
12/14/1925,111,Iran,34.6,58.1,,5.5 UK,,,,500,,
12/18/1925,112,Iran,28.5,51.2,,5.5 UK,,,,2,,
3/18/1926,113,Turkey,35.787,29.246,35,6.9 UK,,,,,,
6/26/1926,114,Greece,36.605,26.888,101.8,7.7 mb,,,,110,,
6/28/1926,115,Indonesia,-0.051,101.522,35,6.8 UK,,,,222,,
10/22/1926,116,Turkey (see1926 Kars earthquake),40.7,43.7,7,5.7 UK,,,,370,,
11/5/1926,117,Nicaragua,12.67,-86.736,35,7.1 mb,,,,,,
3/7/1927,118,Japan,35.802,134.924,9.6,7.6 MS,"T,F",,,2925,2925,
3/20/1927,119,China,24.1,102,,5.0 UK,,,,7,,
