Origin (UTC),Cell Number,Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
9/14/1953,320,Fiji (see 1953 Suva earthquake),-18.3,178.2,33,6.8 UK,T,,,8,,
12/12/1953,321,Peru,-3.597,-80.847,19,7.5 MW,T,,,7,7,
2/11/1954,322,China,38.876,101.212,35,7.1 MW,,,,47,,
4/30/1954,323,Greece,39.187,22.239,25,6.8 MS,,,,31,,
7/2/1954,324,Philippines,13,123.9,0,6.8 MS,,,,22,13,
8/20/1954,325,Iran,27.5,52,,5.0 UK,,,,1,,
9/9/1954,326,Algeria,36.2,1.6,0,6.7 MS,,,,1409,1250,
3/31/1955,327,Philippines,7.386,122.878,54.2,7.7 MW,,,,465,400,
4/14/1955,328,China,29.981,101.613,10,7.5 MW,,,,94,39,
4/15/1955,329,China,39.816,74.64,35,7.1 MW,,,,5,,
4/19/1955,330,Chile,-29.9,-71.6,0,6.9 MS,T,,,1,,
4/21/1955,331,Greece,39.5,23,,6.0 UK,,,,7,,
7/16/1955,332,Turkey,37.6,27.2,0,6.8 MS,,,,23,,
9/1/1955,333,Costa Rica,10,-84.5,,5.8 UK,,,,10,,
9/12/1955,334,Egypt,32.2,29.6,33,6.7 MS,,,,18,20,
9/23/1955,335,China,26.6,101.7,0,6.9 MS,,,,593,,
1/12/1956,336,Hungary,47.5,19.3,,5.8 UK,,,,2,,
2/20/1956,337,Turkey,40,30.5,,5.8 UK,,,,4,,
3/16/1956,338,Syrian Arab Republic,35.5,35.5,,5.8 UK,,,,148,,
6/9/1956,339,Afghanistan,35.042,67.479,35,7.6 MW,L,,,350,100,
7/9/1956,340,Greece,36.617,26.026,35,7.8 MW,T,,,53,,
7/16/1956,341,Myanmar,21.969,95.802,32.1,7.1 MW,,,,38,,
7/21/1956,342,India,23,70,,6.1 UK,,,,111,,
9/29/1956,343,Japan,35.642,140.31,67,6.9 MS,,,,1,,
10/31/1956,344,Iran,27.283,54.405,35,6.8 MS,,,,410,,
2/20/1957,345,Tunisia,36.2,8.9,,5.6 UK,,,,13,,
2/23/1957,346,Taiwan,23.917,121.517,56.8,7.2 MW,,,,7,,
3/8/1957,347,Greece,39.267,22.607,10,6.9 MS,,,,2,,
4/25/1957,348,Turkey,36.387,28.609,63.4,7.0 mb,,,,67,,
5/26/1957,349,Turkey (see1957 Abant earthquake),40.672,31.042,15,7.2 MW,,,,500,53,
7/2/1957,350,Iran,36.09,52.701,35,7.1 MW,,,,1200,2500,
7/28/1957,351,Mexico,16.881,-99.297,37.2,7.8 MW,T,,,160,160,
12/4/1957,352,Mongolia,45.153,99.206,35,8.1 UK,,,,,,
12/13/1957,353,Iran,34.278,47.712,35,6.8 MS,,,,2000,3000,
1/15/1958,354,Peru,-16.779,-72.503,68.6,7.0 mb,,,,28,28,
1/19/1958,355,Ecuador,1.054,-79.48,35,7.8 MW,T,,,20,,
2/7/1958,356,China,31.577,103.912,14.2,6.8 MS,,,,,,
3/11/1958,357,Japan,24.433,124.351,109.9,7.2 mb,,,,2,,
4/14/1958,358,Ecuador,0.706,-79.575,35,6.8 MS,,,,3,,
7/10/1958,359,"Alaska, United States",58.37,-136.665,35,7.3 UK,T,,,5,,
8/16/1958,360,Iran,34.259,47.869,35,6.7 MS,,,,200,191,
9/4/1958,361,Chile,-33.785,-70.112,35,6.8 MS,,,,7,,
10/20/1958,362,Indonesia,-9.5,112.5,100,6.7 UK,,,,7,,
4/26/1959,363,Japan,24.687,122.792,126.3,7.5 mb,,,,1,,
5/4/1959,364,Russian Federation,53.351,159.645,35,8.0 MW,T,,,1,,
5/24/1959,365,Mexico,17.45,-97.145,69.6,7.0 mb,,,,5,,
6/14/1959,366,Chile,-20.369,-68.881,111.6,7.5 mb,,,,1,,
8/15/1959,367,Taiwan (see1959 Hengchun earthquake),21.952,120.97,25,7.2 MW,,,,17,,
8/18/1959,368,United States(see 1959 Yellowstone earthquake),44.548,-110.636,15,7.3 UK,,,,28,28,
8/26/1959,369,Mexico,18.16,-94.417,32.4,6.9 MS,,,,25,,
9/1/1959,370,Albania,40.9,19.8,11,6.1 UK,,,,2,,
1/13/1960,371,Peru,-15.814,-72.788,95.4,7.5 mb,,,,63,57,
1/15/1960,372,Peru,-14.961,-75.162,97.2,6.9 mb,,,,63,,
2/21/1960,373,Algeria,36,4.1,33,5.6 UK,,,,47,,
2/29/1960,374,Morocco (see1960 Agadir earthquake),30.5,-9.5,,5.7 MW,,,,13100,,
4/24/1960,375,Iran,28,54.5,,6.0 UK,,,,420,,
5/22/1960,376,Chile,-37.963,-73.173,38,6.8 MW,T,,,,,
5/22/1960,377,Chile (see1960 Valdivia earthquake),-38.235,-73.047,35,9.5 UK,T,,,5700,6000,
9/22/1960,378,Democratic Republic Of The Congo,-3.6,29,28,6.6 UK,,,,24,,
11/20/1960,379,Peru,-6.727,-80.606,52,7.8 MW,T,,,11,,
2/26/1961,380,Japan,31.632,131.548,49.9,7.7 MW,T,,,2,,
6/1/1961,381,Ethiopia,10.44,39.858,23.9,6.6 UK,,,,30,,
6/11/1961,382,Iran,27.865,54.558,35,6.8 MS,,,,61,,
8/19/1961,383,Japan,36.07,136.7,35,6.9 MS,,,,8,,
12/20/1961,384,Colombia,4.587,-75.542,162.9,6.9 MS,,,,23,,
1/8/1962,385,Dominican Republic,18.291,-70.461,32.6,6.7 MS,,,,1,,
5/11/1962,386,Mexico,17.171,-99.651,35,7.3 MW,T,,,4,,
5/19/1962,387,Mexico,17.008,-99.764,35,6.7 MS,T,,,30,,
7/30/1962,388,Colombia,5.096,-76.626,150,6.9 MS,,,,47,,
8/28/1962,389,Greece,37.874,22.737,107.7,6.8 MS,,,,1,,
9/1/1962,390,Iran (see1962 Bou'in-Zahra earthquake),35.556,49.81,17.6,6.9 MS,,,,12225,12000,
2/13/1963,391,Taiwan,24.356,122.06,35,7.3 MW,T,,,15,,
6/26/1963,392,Macedonia(see 1963 Skopje earthquake),22.66,42.16,?,6.1 MW,,,1100,,,
7/16/1963,393,Georgia,43.163,41.527,35,6.7 MS,,,,2,,
9/24/1963,394,Peru,-10.694,-78.212,65.3,6.9 mb,,,,1,,
1/8/1964,395,Indonesia,-3.737,119.419,60,5.5 mb,,,,8,,
1/18/1964,396,Taiwan (see1964 Baihe earthquake),23.15,120.656,21,6.4 mb,,,,106,107,
3/28/1964,397,"Alaska, United States(see 1964 Alaska earthquake)",61.017,-147.648,6.6,9.2 UK,T,,,131,131,
4/2/1964,398,Indonesia,5.987,95.404,129.2,5.6 mb,T,,,110,,
5/7/1964,399,Tanzania,-3.93,35.112,31.6,6.3 mb,,,,1,4,
6/14/1964,400,Turkey,38.08,38.475,10.4,5.5 mb,,,,8,,
6/16/1964,401,Japan (see1964 Niigata earthquake),38.434,139.226,13.1,7.5 UK,"T,F",,,26,25,
7/6/1964,402,Mexico,18.194,-100.51,92.7,7.2 mb,,,,30,,
10/6/1964,403,Turkey,40.25,28.208,31,6.0 mb,,,,23,23,
1/24/1965,404,Indonesia(see 1965 Ceram Sea earthquake),-2.455,125.965,28.4,8.2 MW,T,,,71,,
2/23/1965,405,Chile,-25.667,-70.71,38.5,6.5 MS,,,,1,,
3/9/1965,406,Greece,39.229,23.825,4.7,5.6 mb,,,,2,38,
3/28/1965,407,Chile,-32.492,-71.212,69.9,7.4 mb,,,,337,400,
3/31/1965,408,Greece,38.339,22.299,50.3,6.3 mb,,,,6,,
4/19/1965,409,Japan,34.842,138.278,38.7,5.6 mb,,,,2,,
4/29/1965,410,United States,47.317,-122.335,65.4,6.5 mb,,,,7,7,
7/6/1965,411,Greece,38.391,22.426,23.3,5.8 mb,T,,,1,,
8/23/1965,412,Mexico (see1965 Oaxaca earthquake),16.178,-95.846,10.5,7.4 MW,T,,,5,,
11/13/1965,413,China,43.84,87.755,51.6,7.0 UK,,,,7,,
2/5/1966,414,Greece,39.044,21.757,21.4,6.2 UK,,,,1,,
2/5/1966,415,China,26.16,103.171,9.2,5.6 mb,,,,371,,
3/7/1966,416,China,37.388,114.963,7.7,6.6 MW,,,,,0,
3/12/1966,417,Japan,24.307,122.695,28.9,7.4 MW,T,,,7,,
3/20/1966,418,Democratic Republic of the Congo,0.842,29.873,15,7.2 UK,,,,200,128,
3/22/1966,419,China (see1966 Xingtai earthquake),37.551,114.991,17.7,5.6 mb,,,,8064,,
4/25/1966,420,Uzbekistan,41.2,69.09,,5 ML,,,,,10[7]|,
6/27/1966,421,Nepal,29.554,80.854,22.7,6.0 mb,,,,80,80,
8/1/1966,422,Pakistan,30.051,68.629,9.8,7.0 UK,,,,2,,
8/15/1966,423,India,28.616,78.892,25,5.6 mb,,,,15,,
8/19/1966,424,Turkey (see1966 Varto earthquake),39.161,41.58,17.5,5.8 mb,,,,2517,2394,
9/28/1966,425,China,27.457,100.089,5.5,5.8 mb,,,,32,,
10/17/1966,426,Peru,-10.807,-78.684,20.7,8.2 MW,T,,,110,120,
10/29/1966,427,Greece,38.874,21.176,11.3,5.7 mb,,,,1,,
12/28/1966,428,Chile,-25.502,-70.655,30,7.7 MW,T,,,3,4,
2/9/1967,429,Colombia,2.889,-74.799,40.4,7.2 MW,,,,98,61,
2/19/1967,430,Indonesia,-9.168,112.946,97.9,5.9 mb,,,,54,54,
3/27/1967,431,China,38.516,116.601,26.8,5.5 mb,,,,9,,
4/12/1967,432,Indonesia,5.084,96.232,18.6,6.1 mb,T,,,14,,
5/1/1967,433,Greece,39.552,21.291,13,5.9 UK,,,,9,,
7/22/1967,434,Turkey (see1967 Mudurnu earthquake),40.632,30.74,4.2,7.4 MW,,,,173,183,
7/26/1967,435,Turkey,39.502,40.408,8.7,5.6 mb,,,,110,,
7/29/1967,436,Colombia,6.788,-73.073,160.9,5.9 mb,,,,20,,
7/29/1967,437,Venezuela(see 1967 Caracas earthquake),10.555,-67.31,23.7,6.5 mb,,,,240,240,
8/30/1967,438,China,31.631,100.232,8.1,7.0 UK,,,,39,,
10/25/1967,439,Taiwan,24.464,122.221,67.1,7.0 mb,,,,2,,
11/30/1967,440,Albania,41.379,20.456,36.5,5.8 mb,,,,18,7,
12/10/1967,441,India (see1967 Koynanagar earthquake),17.394,73.774,10.7,6.3 UK,,,,180,177,
12/21/1967,442,Chile,-21.864,-69.948,42.5,7.4 MW,T,,,1,,
1/14/1968,443,Italy (see1968 Belice earthquake),38,13,,6.4 UK,,,,,,380
2/19/1968,444,Greece,39.372,24.946,8.1,7.2 MW,T,,,20,19,
4/1/1968,445,Japan,32.482,132.192,30.2,7.5 MW,T,,,1,,
5/16/1968,446,Japan,40.903,143.346,25.8,8.3 MW,T,,,52,47,
5/23/1968,447,New Zealand,-41.743,172.123,46.7,7.2 MW,,,,3,,
6/19/1968,448,Peru,-5.558,-77.151,15.6,6.9 MS,,,,46,11,
7/2/1968,449,Mexico,17.515,-100.259,58.3,5.7 mb,,,,1,,
8/1/1968,450,Philippines(see 1968 Casiguran earthquake),16.384,122.078,52.2,7.7 MW,T,,,207,271,
8/2/1968,451,Mexico,16.494,-97.771,49.8,7.3 MW,,,,18,,
8/14/1968,452,Indonesia,0.058,119.69,18.8,7.3 MW,T,,,392,,
8/31/1968,453,Iran (see1968 Dasht-e Bayaz and Ferdows earthquake),34.045,58.96,12.3,7.2 MW,,,,15000,10000,
9/1/1968,454,Iran (see1968 Dasht-e Bayaz and Ferdows earthquake),34.072,58.212,8.8,6.3 MS,,2000,2000,900,10000,
9/3/1968,455,Turkey,41.771,32.452,4.9,5.7 mb,T,25,25,29,29,
9/20/1968,456,Venezuela,10.731,-62.719,102.6,6.2 mb,T,2,2,3,,
9/25/1968,457,Mexico,15.551,-92.66,122.4,5.8 mb,T,15,15,48,15,
2/11/1969,458,China,41.426,79.239,13.1,7.1 UK,,,,2,,
2/23/1969,459,Indonesia,-3.179,118.799,60.6,5.9 mb,T,,,600,,
2/28/1969,460,Portugal (see1969 Portugal earthquake),35.923,-10.568,32.5,7.8 MW,T,13,13,13,,
3/28/1969,461,Turkey,38.535,28.467,9.3,6.4 MS,,53,53,53,41,
3/29/1969,462,Ethiopia,11.939,41.219,12,6.3 MS,,24,24,40,24,
3/31/1969,463,Egypt,27.511,33.936,3.5,6.8 MS,,2,2,2,,
7/18/1969,464,China (see1969 Bohai earthquake),38.421,119.453,12,7.2 MW,,,,10,,
7/25/1969,465,China (see1969 Yangjiang earthquake),21.612,111.809,3.4,5.9 MS,,3000,3000,33,3000,
9/9/1969,466,Japan,35.786,137.093,7.5,6.0 MS,,0,0,1,,
9/29/1969,467,South Africa,-33.19,19.336,15,6.3 MS,,12,12,12,9,
10/1/1969,468,Peru,-11.835,-75.195,6.5,6.2 MS,,136,136,136,150,
10/2/1969,469,United States(see 1969 Santa Rosa earthquakes),38.3,-122.764,15,5.7 UK,,,,1,,
10/26/1969,470,Bosnia and Herzegovina,44.807,17.353,15,5.6 MS,,14,14,20,15,
10/27/1969,471,Bosnia and Herzegovina,44.837,17.234,15,6.1 MS,,,,9,,
1/4/1970,472,China (see1970 Tonghai earthquake),24.147,102.462,14,7.2 MW,,,,15621,10000,
1/20/1970,473,Japan,42.523,143.024,34.9,6.4 MS,,1,1,,,
2/5/1970,474,Philippines,12.6,122.058,7.7,6.6 MS,,3,3,3,,
3/28/1970,475,Turkey (see1970 Gediz earthquake),39.172,29.55,24.2,7.4 UK,,1086,1086,1086,1086,
4/7/1970,476,Philippines,15.772,121.659,28.3,7.2 MW,,14,14,15,14,
5/14/1970,477,Russian Federation,43.079,47.08,13.2,5.5 mb,,,,,,
5/14/1970,478,Russian Federation,43.102,47.071,12.7,6.5 MS,,,,,,
5/31/1970,479,Peru (see1970 Ancash earthquake),-9.248,-78.84,73,7.9 UK,L,0,70000,66794,66794,
6/5/1970,480,Kyrgyzstan,42.492,78.719,4,6.6 MS,,,,,,
7/30/1970,481,Iran,37.836,55.887,10.9,6.6 MS,,176,176,220,176,
7/31/1970,482,Colombia,-1.486,-72.563,644.6,8.0 UK,,1,1,1,,
10/31/1970,483,Papua New Guinea (see1970 New Guinea earthquake),-4.907,145.471,8.1,7.3 UK,"T,L",15,15,5,15,
11/14/1970,484,Taiwan,22.839,121.363,27.6,6.1 MS,,2,2,2,,
12/10/1970,485,Peru,-4.079,-80.662,20.1,7.1 MW,,81,81,81,29,
2/9/1971,486,United States(see 1971 San Fernando earthquake),34.401,-118.392,6.4,6.7 UK,"L,Lq",65,65,58,65,
4/3/1971,487,China,32.178,95.028,15,5.6 mb,,,,1,,
4/12/1971,488,Iran,28.264,55.608,5.6,5.9 MS,,,,1,,
4/28/1971,489,China,22.953,100.993,8,6.3 MS,,,,2,,
5/12/1971,490,Turkey,37.555,29.746,28.8,5.9 MS,,100,100,57,,
5/22/1971,491,Turkey (see1971 Bingöl earthquake),38.868,40.542,3.6,6.7 MS,,1000,1000,995,878,
6/17/1971,492,Chile,-25.423,-69.052,90.1,7.2 mb,,1,1,1,,
7/9/1971,493,Chile,-32.558,-71.085,59,7.8 MW,T,83,83,83,85,
7/14/1971,494,Papua New Guinea,-5.519,153.906,44.5,8.0 MW,T,0,1,2,,
7/26/1971,495,China,39.848,77.246,41.1,5.8 mb,,,,1,,
7/27/1971,496,Ecuador,-2.825,-77.362,94.5,7.3 mb,,1,1,1,,
8/16/1971,497,China,28.879,103.672,22.7,5.5 mb,,,,10,,
10/12/1971,498,Guatemala,15.797,-91.137,35.5,5.7 MS,,,,2,,
10/15/1971,499,Peru,-14.183,-73.399,80,5.7 mb,,5,5,14,,
10/27/1971,500,Vanuatu,-15.578,167.32,60.9,6.3 mb,,1,1,1,,
1/25/1972,501,Taiwan,22.549,122.325,10.1,7.5 MW,T,1,1,1,,
3/20/1972,502,Peru,-6.81,-76.78,49.8,6.9 UK,,7,7,7,,
4/10/1972,503,Iran (see1972 Qir earthquake),28.408,52.789,6,6.7 MW,,5054,5054,5010,5057,
4/24/1972,504,Taiwan (see1972 Ruisui earthquake),23.604,121.534,21,6.9 MS,,4,4,5,,
6/24/1972,505,Afghanistan,36.255,69.684,31.1,6.1 MS,,11,11,11,,
9/3/1972,506,Pakistan,35.949,73.321,32.9,6.2 MS,,100,100,100,,
12/23/1972,507,Nicaragua(see 1972 Nicaragua earthquake),12.347,-86.128,7.3,6.2 MS,,5000,5000,10000,10000,
1/30/1973,508,Mexico,18.455,-102.96,37.2,7.5 MS,T,17,17,56,17,
2/6/1973,509,China,31.353,100.545,10,7.7 UK,,,,2199,,
3/17/1973,510,Philippines,13.415,122.804,44.3,7.5 UK,T,15,15,15,14,
4/14/1973,511,Costa Rica,10.673,-84.86,30.3,6.5 MS,,26,26,26,,
4/24/1973,512,Colombia,4.907,-78.114,28.8,6.6 UK,,1,1,1,,
8/16/1973,513,China,23.003,101.078,6.4,6.4 MS,,,,1,,
8/28/1973,514,Mexico (see1973 Veracruz earthquake),18.233,-96.608,80.6,7.2 UK,,600,600,600,500,
11/11/1973,515,Iran,30.535,52.951,2,5.5 mb,,1,1,1,,
11/23/1973,516,Portugal,38.486,-28.329,18.5,5.2 UK,,1,1,1,,
11/24/1973,517,Algeria,36.201,4.473,33.1,5.1 mb,,4,4,4,,
1/5/1974,518,Peru,-12.351,-76.307,91.9,6.6 UK,,10,10,10,,
2/1/1974,519,Turkey,38.54,27.263,11.9,5.4 ML,,2,2,,,
4/22/1974,520,China,31.533,119.28,14.2,5.5 MS,,,,8,,
5/8/1974,521,Japan,34.57,138.771,11.3,6.7 UK,T,27,27,30,30,
5/10/1974,522,China (see1974 Zhaotong earthquake),28.195,104.007,10.2,6.8 MS,,,,1541,,
6/12/1974,523,Venezuela,10.509,-63.429,7.9,6.5 UK,,3,3,5,,
7/13/1974,524,Panama,7.737,-77.631,3.8,7.3 MS,,11,11,11,,
8/3/1974,525,Japan,36.016,139.901,51.4,5.6 mb,,2,2,,,
10/2/1974,526,Peru,-5.882,-81.019,20.5,5.7 mb,,,,,78,
10/3/1974,527,Peru,-12.254,-77.523,33.5,7.6 MS,T,78,78,78,,
12/28/1974,528,Pakistan (see1974 Hunza earthquake),35.026,72.898,12.5,6.2 MS,,5300,5300,5300,,
1/19/1975,529,India (see1975 Kinnaur earthquake),32.373,78.474,5,6.8 MS,,47,47,47,47,
2/4/1975,530,China (see1975 Haicheng earthquake),40.667,122.646,8,7.0 MW,,,,1328,10000,2041
2/9/1975,531,Indonesia,-6.774,106.634,15,5.6 MS,,1,1,1,,
3/7/1975,532,Iran,27.477,56.224,11,6.1 MS,,7,7,7,,
3/13/1975,533,Chile,-29.91,-71.393,31.3,6.9 MS,T,2,2,2,,
4/5/1975,534,Venezuela,10.065,-69.666,22.4,6.3 UK,,3,3,3,,
7/8/1975,535,Myanmar,21.452,94.598,117.6,6.5 mb,,,,1,,
7/11/1975,536,Algeria,36.32,5.241,33,4.3 mb,,1,1,1,,
7/19/1975,537,India,31.937,78.605,12.8,5.3 mb,,2,2,,,
9/6/1975,538,Turkey (see1975 Lice earthquake),38.515,40.768,39.6,6.7 MS,,2311,2311,2370,2385,
10/31/1975,539,Philippines,12.535,125.997,52.5,7.6 UK,T,1,1,1,,
11/5/1975,540,Mexico,16.9,-92.818,12,5.0 mb,,1,1,,,
11/29/1975,541,United States Minor Outlying Islands,19.452,-155.034,2.1,7.2 MS,T,2,2,2,,
12/30/1975,542,Turkey,38.595,40.526,31.8,4.6 mb,,3,3,,,
12/31/1975,543,Greece,38.526,21.714,15,5.5 MS,,1,1,1,,
1/13/1976,544,Iceland,66.226,-16.578,15,6.3 MW,,,,,1,
2/4/1976,545,Guatemala(see 1976 Guatemala earthquake),15.296,-89.145,12.3,7.5 MW,T,23000,23000,22870,23000,
2/4/1976,546,Guatemala(see 1976 Guatemala earthquake),14.812,-90.469,60.4,5.4 mb,,,,,,
2/19/1976,547,Cuba,19.864,-76.899,21.1,5.9 MS,,1,1,1,,
3/13/1976,548,Guatemala,14.725,-91.006,15,5.4 mb,L,4,4,4,,
3/19/1976,549,Afghanistan,36.587,67.758,18.2,5.6 mb,L,49,49,49,50,
3/25/1976,550,Turkey,40.939,42.954,35,4.8 mb,,1,1,1,2,
4/2/1976,551,Turkey,39.801,43.689,25,4.6 mb,,4,4,4,,
4/5/1976,552,China,40.23,112.222,7,5.5 MS,,,,28,,
4/9/1976,553,Ecuador,0.85,-79.564,17,6.6 MW,,8,8,8,10,
4/29/1976,554,Turkey,40.935,42.875,35,5.5 MS,,4,4,4,,
5/6/1976,555,Italy (see1976 Friuli earthquake),46.385,13.266,20.7,6.5 MW,,900,900,965,922,
5/15/1976,556,Peru,-11.66,-74.419,19,6.7 MW,L,5,5,5,,
5/17/1976,557,Uzbekistan,40.373,63.428,14.8,6.7 MW,,6,6,6,0,
5/29/1976,558,China,24.501,98.93,6.5,6.7 MW,,,,98,,
5/29/1976,559,China,24.581,98.61,7.6,6.6 MW,,,,,,
6/25/1976,560,Indonesia(see 1976 Papua earthquake),-4.531,140.109,15,7.1 MW,L,422,7422,6000,420,
7/9/1976,561,Turkey,38.327,40.463,33,4.2 mb,,1,1,1,,
7/14/1976,562,Indonesia,-8.228,114.774,24.8,6.5 MW,,563,563,563,573,
7/21/1976,563,China,24.768,98.667,4.3,6.1 MW,,,,11,,
7/27/1976,564,China (see1976 Tangshan earthquake),39.605,117.888,16.7,7.6 MW,,655237,655237,242800,242000,
7/28/1976,565,China,39.723,118.359,18.2,7.0 MW,,,,,,
8/16/1976,566,China (see1976 Songpan-Pingwu earthquake),32.753,104.088,10.7,6.7 MW,,,,,0,
8/16/1976,567,Philippines(see 1976 Moro Gulf Earthquake),6.292,124.089,57.9,8.0 MW,T,,6500,8000,6000,
8/17/1976,568,Philippines,7.259,122.96,20.2,7.1 MW,,,,,,
8/19/1976,569,Turkey,37.743,29.015,11.7,5.0 mb,,4,4,4,4,
8/23/1976,570,China,32.481,104.182,7.9,6.4 MW,,,,41,,
9/11/1976,571,Italy,46.339,13.181,4.2,5.5 MS,L,5,5,5,,
9/15/1976,572,Italy (see1976 Friuli earthquake),46.314,13.206,0.9,6.0 MW,,11,11,11,,
9/15/1976,573,Italy,46.354,13.087,9.7,5.9 MS,,0,0,2,,
10/6/1976,574,Ecuador,-0.726,-78.732,4.7,5.7 mb,,9,9,9,,
10/29/1976,575,Indonesia,-4.475,139.991,15,6.8 MW,,133,133,6000,,
11/6/1976,576,China,27.554,101.021,7.7,6.3 MW,,,,33,,
11/7/1976,577,Iran,33.82,59.18,6.5,6.0 MW,,17,17,17,16,
11/24/1976,578,Turkey (see1976 Çaldıran-Muradiye earthquake),39.082,44.031,8.9,7.0 MW,,5000,5000,3900,3840,
11/30/1976,579,Chile,-20.472,-68.896,133.7,7.5 MW,,1,1,1,,
12/8/1976,580,South Africa,-27.979,26.677,10,5.2 mb,,4,4,4,,
12/13/1976,581,China,27.336,101.024,3.4,5.9 MS,,,,2,,
1/1/1977,582,China,38.185,91.014,5.3,6.0 MW,,,,2,,
3/4/1977,583,Romania(see 1977 Vrancea earthquake),45.776,26.702,89,7.5 MW,,,,1581,1641,
3/18/1977,584,Philippines,16.755,122.285,32.5,7.2 MW,,1,1,1,1,
3/21/1977,585,Iran,27.583,56.363,12,6.7 MW,,167,167,167,167,
3/25/1977,586,Turkey,38.647,40.057,17.4,5.3 MW,,30,30,30,30,
4/6/1977,587,Iran,31.954,50.643,9.4,6.0 MW,,348,348,366,352,
4/21/1977,588,Solomon Islands,-10.009,160.816,45.1,7.3 MW,T,0,18,18,,
5/26/1977,589,Iran,38.896,44.324,16.9,5.6 MW,,3,3,3,3,
8/19/1977,590,Indonesia,-11.18,118.37,29.4,5.7 MW,T,,,,185,
8/19/1977,591,Indonesia,-11.126,118.38,22.6,8.3 MW,T,,189,189,,
8/27/1977,592,Indonesia,-8.136,125.326,44.6,7.0 MW,,2,2,2,,
8/31/1977,593,Colombia,7.351,-76.159,21.3,6.5 MW,,3,3,3,,
11/23/1977,594,Argentina(see 1977 San Juan earthquake),-31.082,-67.78,19.5,7.4 MW,"L,Lq",70,70,70,,
12/10/1977,595,Iran,27.687,56.578,13.9,5.6 MW,,3,3,,3,
12/19/1977,596,Iran,30.911,56.413,11.6,5.9 MW,,584,584,665,589,
1/14/1978,597,Japan,34.803,139.294,10.7,6.6 MW,T,21,25,25,21,
2/22/1978,598,Guatemala,14.268,-91.399,66.9,6.3 MW,,2,2,2,,
3/11/1978,599,Italy,38.046,15.99,22.2,5.2 MW,,2,2,2,,
3/16/1978,600,Afghanistan,29.928,66.234,10.2,6.1 MW,,1,1,,,
3/19/1978,601,Mexico,16.932,-99.782,11,6.6 MW,,1,1,1,,
4/15/1978,602,Italy,38.381,15.073,17,6.0 MW,,5,5,5,,
6/12/1978,603,Japan,38.235,142.105,46.2,5.7 mb,T,,,28,,
6/12/1978,604,Japan (see1978 Miyagi earthquake),38.224,142.009,53.3,7.6 MW,,22,22,,,
6/19/1978,605,Greece,40.732,23.257,7.7,5.3 MW,,1,1,1,50,
6/20/1978,606,Greece (see1978 Thessaloniki earthquake),40.76,23.303,7.4,6.5 MW,,50,50,50,,
7/4/1978,607,Greece,40.718,23.112,7.4,4.6 ML,,1,1,1,,
7/29/1978,608,Guatemala,14.758,-90.99,15,4.9 mb,,5,5,17,,
9/16/1978,609,Iran (see1978 Tabas earthquake),33.242,57.382,8.2,7.4 MW,,15000,15000,18220,25000,
11/29/1978,610,Mexico,16.011,-96.603,24.8,7.8 MW,T,9,9,9,9,
12/14/1978,611,Iran,32.128,49.634,18.9,6.1 MW,,76,76,76,45,
12/23/1978,612,Taiwan,23.217,122.009,45.5,7.0 MW,,2,2,2,,
1/16/1979,613,Iran,33.909,59.471,9.9,6.5 MW,,200,200,200,,
2/16/1979,614,Peru,-16.537,-72.553,55.1,7.1 MW,,18,18,18,13,
3/14/1979,615,Mexico,17.758,-101.221,24.7,7.4 MW,T,5,5,15,5,
3/15/1979,616,China,23.162,101.106,13.5,6.0 MW,,,,12,,
4/15/1979,617,Montenegro(see 1979 Montenegro earthquake),41.999,19.156,15,6.9 MW,T,156,156,129,121,
5/30/1979,618,Indonesia,-8.345,115.864,20,6.2 MW,,37,37,22,34,
7/2/1979,619,India,34.525,74.291,35,4.5 mb,,0,3,,,
7/9/1979,620,China,31.472,119.27,12.6,5.4 MW,,41,41,42,,
9/12/1979,621,Indonesia,-1.682,135.974,17.6,7.5 MW,T,15,15,15,2,
9/19/1979,622,Italy,42.773,13.01,15,5.8 MW,,5,5,5,5,
10/20/1979,623,Indonesia,-8.363,115.782,52,6.4 MW,,2,2,2,,
10/27/1979,624,Guatemala,13.829,-90.841,56.5,6.8 MW,,4,4,7,,
11/2/1979,625,Indonesia,-7.746,108.165,72.1,6.5 MW,,30,30,23,26,
11/6/1979,626,Greece,39.52,20.375,28.1,5.4 mb,,1,1,1,,
11/14/1979,627,Iran,33.956,59.726,9.1,6.5 MW,,280,280,280,350,
11/23/1979,628,Colombia,4.793,-76.19,107.7,7.2 MW,L,52,52,52,60,
11/27/1979,629,Iran,34.056,59.754,7.4,7.0 MW,,17,17,17,16,
12/12/1979,630,Colombia,1.603,-79.363,23.6,8.1 MW,T,600,600,600,300,
12/15/1979,631,Indonesia,-3.339,102.567,13,6.5 MW,,8,8,8,5,
12/17/1979,632,Indonesia,-8.487,115.753,15,6.5 MW,,27,27,32,32,
1/1/1980,633,Portugal (see1980 Azores Islands earthquake),38.726,-27.751,12.2,6.9 MW,,60,60,56,69,
1/24/1980,634,United States,37.712,-121.728,15,5.8 MW,,0,0,1,,
2/20/1980,635,Italy,39.291,16.152,8.2,4.8 ML,,0,1,,,
6/9/1980,636,Mexico,32.268,-114.908,4.6,6.3 MW,,1,1,1,,
